,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,ATAC private topic 1,ATAC private topic 2,ATAC private topic 3,ATAC private topic 4,ATAC private topic 5,ATAC private topic 7,ATAC private topic 8,ATAC private topic 9,ATAC private topic 10
chr12-26469152-26470058,0.41241446,0.12858886,-0.18680792,0.22244887,-0.02540475,0.3712736,-0.10491958,-0.34370774,-0.030191641,0.13584413,-0.089315996,0.052669212,0.5500583,-0.7022379,-0.027348418,-0.019679772,0.412298,-0.10581903,-0.008138897
chr12-27158577-27159173,0.6199497,-1.2043816,0.14077355,0.43103522,-0.19855915,-1.3069545,-0.06985675,0.09476443,0.7939079,0.24723573,-0.17600587,-0.36562243,0.35161158,0.33883703,-0.11665394,0.041823015,-1.1223564,-0.07263204,0.45656344
chr12-27160009-27160757,0.10877691,-1.1211348,0.54487723,0.33522898,0.41442817,-1.3681833,0.005407852,-1.6936866,0.7712794,0.1963346,-0.10055011,-0.567024,0.1494018,0.47834364,-0.020796722,0.07679843,-0.95337933,0.14355744,0.18271194
chr12-28649250-28650165,-0.17285079,0.48414814,-0.23666047,0.0387985,-0.1338705,0.5539527,-1.0986674,0.6595493,-0.056674954,0.11115603,-0.1784191,-0.070477456,0.06857786,0.024400478,0.0035666313,-0.019137027,0.36917454,-0.022481017,-0.105866656
chr12-29368178-29369052,0.41475305,-0.6326266,0.20341998,0.46689978,0.08278562,-0.3552272,0.4315533,-1.0756078,0.067312896,-0.7385399,0.008835087,-0.6394775,0.4084688,-0.58545494,0.03159809,0.07080804,-0.8390587,0.081230134,0.026343592
chr12-29538472-29538929,0.8082273,-1.6093668,0.117698774,0.7098082,0.024327228,-1.3426828,0.6093217,-1.3394432,0.77508,-0.55621594,0.033375364,-0.75918883,0.50336623,0.23627177,-0.11890893,0.1876514,-1.0998791,-0.4033188,0.5260615
chr12-30584210-30585128,-0.30053115,0.36513954,0.11661002,-0.70915496,0.10223508,0.6438126,0.033947397,0.8788781,-0.8698798,0.013537731,-0.42941087,0.48973715,-0.44344753,-0.07756706,0.030763607,-0.5047863,0.86674064,-0.6801575,-0.5022244
chr12-31558827-31559684,-1.3372053,-1.0370035,0.4010255,-1.0730733,0.7631242,0.0018084067,-0.90702003,0.4016661,1.0227101,0.18718408,-0.11475152,-0.03905101,-0.7051896,0.17860597,0.05053489,0.02047174,-0.062150612,-0.76229423,0.6054862
chr12-31654437-31655262,-0.07984664,0.5856948,-0.45652843,0.09775608,0.116238326,0.46070763,0.26334393,0.2964682,-0.34211636,-0.2145639,-0.025059216,-0.2179423,-0.007210603,-0.30579138,-0.016317835,-0.009356503,0.6399052,-0.13593557,0.0021616602
chr12-31709201-31710062,0.079583645,-1.1849582,0.23867476,0.21569903,-0.43350172,-1.492848,-1.0664467,-1.3877645,1.0533485,1.2266748,0.0096247755,-0.4544305,0.23719434,0.28723454,0.119561344,-0.003610131,-0.8469211,-0.18261442,-0.062904455
chr12-31710186-31710822,-0.94542164,-0.48307058,0.8717956,0.028840588,-0.0070276554,-1.5365998,-0.2858807,-1.1974893,0.7935614,0.549864,0.10385176,-0.3931592,-0.14293654,0.59112453,0.0982502,-0.080874026,-0.584588,-0.0016206293,-0.30117118
chr12-31711923-31712758,0.38028985,-1.6213045,0.56869024,0.13062865,0.38191465,-1.0735172,-0.2544835,-1.4562941,0.564743,0.6450156,0.06911318,-0.9620421,0.87875366,0.11959674,-0.01644031,0.05567993,-0.87442553,-0.40798724,0.44464678
chr12-31713339-31714250,0.34509683,-0.9103195,0.57053816,0.27917108,0.29042056,-1.308694,-0.18507487,-1.4694728,0.42125723,0.27488106,-0.0009419775,-0.09497464,-0.0031686614,0.39192325,-0.06153348,0.10491281,-0.96340466,0.011878194,0.028465768
chr12-32060703-32061394,-0.06684445,0.4597117,-0.077579595,0.16336465,0.034932658,0.16571325,-0.1732041,0.20505252,-0.13935705,-0.1083626,-0.031844437,-0.06364531,-0.09532033,-0.016616104,-0.0046843216,-0.0008126663,0.075478755,0.042296484,-0.019243725
chr12-33345465-33346304,-0.7836373,-1.553924,1.7358851,-1.4480741,-1.0441164,-1.4801427,-0.95668644,-1.1504081,0.7905677,1.1357673,-0.3402877,-0.47938913,-0.30984643,0.64520425,0.08984019,0.21693869,-0.8038336,0.10640851,-0.29655918
chr12-35038649-35039543,-0.0052454765,-0.16421856,0.46886623,-0.14256945,-0.39428443,-0.45200595,-0.09675109,-0.2711867,0.9871326,0.5939476,-0.10717136,-0.30009308,-0.29070175,-0.03349358,-0.02997538,-0.100232944,0.4724262,0.08513217,0.05529465
chr12-36381399-36382310,-0.100230835,0.6162378,-0.20360923,-0.06612519,-0.28297868,0.55313474,-0.38977075,0.79257214,-0.23783581,-0.01709357,-0.06981117,0.1375018,-0.045889493,0.28224373,-0.04881961,-0.027779723,0.42143258,-0.0039143036,-0.27441883
chr12-40034144-40035045,-0.789264,-0.1488579,0.12283583,-0.53171563,0.8339633,-0.2194096,0.5425502,0.43923616,-0.64302313,0.31046584,-0.23799889,-0.42077872,-0.1791685,-0.020582756,-0.038613982,-0.26092887,0.44080606,-0.11287336,0.77494615
chr12-40793976-40794797,1.4631568,-1.1453946,0.19842756,0.18055113,0.80295974,-0.6022055,0.34751996,-1.2195522,-1.2775942,-0.8576002,0.25516257,-0.66544825,0.5618702,-0.71307707,-0.1491858,-0.20162174,-0.632703,0.54127854,-0.08035379
chr12-41483148-41484024,0.08872669,-0.59976035,0.24725744,0.1500009,0.042141777,0.124690734,-0.118882604,-0.6905509,0.25653717,-0.15802388,-0.0137218945,-0.010156468,-0.022366185,0.05229894,-8.0150785e-05,-0.010430229,-0.47908688,-0.00082260993,0.021785486
chr12-41485626-41486235,0.15271682,0.37040812,-0.11497023,0.11056957,0.012494805,0.28080976,-0.16469042,-0.17114547,-0.1298627,-0.043021787,-0.017296437,0.062892444,-0.03735055,-0.0011476653,0.0017762468,0.00250789,0.37392685,-0.010322528,-0.014058081
chr12-44268766-44269616,-0.06558026,0.57422036,-0.31083804,-0.0015543979,-0.16867813,0.54697126,0.23758298,0.54686254,-0.32718363,-0.44024998,-0.029697465,-0.62104595,0.22337238,-0.54630345,0.0058475025,-0.11395602,0.78312093,-0.0101786945,-0.34315845
chr12-45073774-45074718,-0.23843277,0.43694225,-0.21378705,-0.4462466,0.124220416,1.0304235,-0.41944405,0.733223,-1.2930875,0.12728755,-0.1691345,0.23542967,-0.0907218,-0.62108326,-0.021632459,0.006068721,0.604336,0.011970785,-1.0015467
chr12-51377106-51378025,-0.2760347,0.25936586,-0.33566803,0.047142662,0.07175907,0.47950277,0.06155175,0.60334104,-0.20813683,-0.2428958,-0.0057413434,0.037809018,-0.02927125,0.061166897,-0.0051410454,-0.11338213,0.587021,-0.032762323,-0.050364807
chr12-51828957-51829879,0.13700074,0.47722605,-0.42324945,-0.1539171,-0.07936196,0.3665321,-0.2431311,0.7014427,-0.43444276,-0.016531495,-0.6798047,0.10019362,-0.0667069,0.44806218,0.029243283,-0.016171385,0.21599276,-1.0569541,0.09150704
chr12-52005950-52006810,-0.23082034,0.48596588,-0.42230037,0.4795342,0.13324532,0.081707045,0.084156215,0.16068415,-0.3916062,0.35903412,-0.055244334,0.31194413,0.019768268,-0.5141182,-0.06044697,-0.15347455,0.4058497,0.14870766,-0.100311115
chr12-54656058-54656914,-0.3268537,0.3972626,-0.3334375,0.22849207,-0.10341232,0.34987345,-0.18926914,0.20553006,0.0967009,0.28118154,-0.083323784,0.007479024,0.25859508,-0.17442434,-0.004068044,-0.05942199,0.36730754,-0.06913101,0.06108961
chr12-55398427-55399314,-0.30921903,0.19676182,-0.21306515,-0.0263955,-0.070411,0.48846662,-0.14202958,0.82111686,-0.23474601,0.09096712,-0.6783225,0.043502208,-1.035263,0.11466337,-0.028044138,0.0026695826,0.7510888,0.00855728,0.02220064
chr12-55446614-55447460,-1.022669,0.79706544,0.42594358,-1.2426804,0.059966028,0.9036547,-0.98119175,1.1933628,-1.1448646,-0.086300485,-0.20605262,-0.31641707,0.00037085195,-0.40260875,-0.0029540649,0.17384021,0.5871542,0.01590876,-0.2571033
chr12-55836142-55836957,0.03286237,0.43975595,-0.16740629,0.0578863,-0.3983811,0.67930067,0.06024744,0.54911876,-0.29356542,-0.062285975,-0.18296266,0.1969904,0.010993604,0.010569372,-0.02147128,-0.013044734,0.55163586,-0.024152914,-0.038202938
chr12-58212232-58213025,-0.95317155,0.036942128,0.35551202,0.14230514,-0.6446038,0.3859018,-0.46041766,-0.032571822,0.74983615,0.07106921,0.35708743,-1.033192,-0.054228675,0.12652242,-0.0003373893,0.009282423,-0.9039119,-0.09096276,0.33591655
chr12-58214020-58214588,-1.3857863,0.5238006,0.3769451,-0.62462676,0.16530967,0.45291245,-1.0926174,0.71423507,0.7796743,-0.23884937,0.02655592,0.17141075,-0.10451412,0.06023257,-0.021808945,-0.040121056,0.11715084,-0.50078446,-0.5011576
chr12-58268060-58268957,-0.31167522,0.65420717,-0.10271862,-0.08642502,-0.22143503,-0.35753182,0.092763625,1.2202203,-0.38372144,0.12060447,-0.15242116,0.17662188,-0.16538645,-0.9899514,-0.029473579,-0.07340347,1.1970313,-0.12436143,0.010480736
chr12-59219245-59220070,-0.012310403,0.40184012,-0.8825279,0.19202356,-0.0959436,0.61698735,0.20624055,0.5836293,-0.08775045,-0.3035173,-0.28487357,0.69048214,-0.020236608,-0.31465682,-0.0875411,-0.65686697,0.24899285,0.06460381,-0.001736349
chr12-61521170-61521961,1.1715153,-0.6155001,0.58565813,0.11369236,-0.071294166,-1.5876528,0.64559937,-1.6141686,-0.16431369,-0.47486567,0.78194094,-0.79745764,0.25521076,-0.35294753,-0.16848728,0.20766054,-1.1432817,0.07227276,0.089144915
chr12-61525958-61526802,0.69235283,-0.4814753,0.62892616,0.423883,0.07075988,-0.78859884,0.20374908,-1.7711688,0.3412499,-0.2786079,0.17699562,-0.18779626,0.09051088,0.35492155,-0.04596398,0.05476545,-1.1933857,-0.30189157,0.08926426
chr12-67221890-67222694,0.12574384,0.22977993,-0.26356217,0.0049620117,-0.043706097,0.47482246,0.39410394,-0.09155971,-0.0135068735,-0.2190907,-0.022020064,-0.40631232,-0.14233771,-0.32730606,-0.0010275303,0.044167962,-0.15595463,0.315734,-0.8157755
chr12-69582475-69583290,0.10737712,0.024061164,-0.25158748,0.3249871,0.0006895597,0.095482655,-0.373388,0.21686946,-0.12781365,0.13162318,-0.008383281,0.11463156,-0.013624504,0.015836721,0.00029198767,-0.0042840634,-0.26109698,-0.01598017,0.014228045
chr12-70974459-70975268,-0.20724772,0.6124094,-0.1869814,0.06912954,-0.22052982,0.68812776,-0.0779447,0.43067583,-0.26290038,-0.12554927,-0.41318098,0.68298346,-0.10844581,0.028004315,-0.020405281,-0.12760237,0.53362316,-0.010840583,-0.118604325
chr12-71049375-71050264,0.27534348,-1.1721112,0.3569601,0.36976197,0.4413772,-0.76739424,-0.043585677,-0.5455226,0.18108386,-0.36965033,0.08529373,-0.31950828,-0.021752633,-0.30160004,0.114603154,0.0138794845,-0.87586063,-0.08556465,-0.06719553
chr12-72211767-72212661,-0.52123684,-1.1195997,0.8194879,-1.2217243,-1.2014356,-0.5999921,-1.0959007,0.20281258,0.29850593,1.7858633,-0.8183625,-0.40676773,-0.1242715,0.1633392,-0.14740181,1.1207083,-0.965784,-0.8473832,0.13853544
chr12-72831547-72832440,0.5761129,-0.94459707,0.7218551,0.60226995,-1.20881,-0.38551405,0.031786203,-0.7131966,0.57062536,0.06810469,-0.1717246,-0.49206114,0.27945775,-0.32919148,-0.014149161,0.040628504,-0.43286124,-0.039870042,0.058365118
chr12-73564872-73565794,0.4663436,-1.3076465,0.5208356,0.8785606,-0.5738661,-0.12761675,0.37585527,-0.025649058,-0.63505304,0.30481184,-0.09003609,-0.059618596,-0.29237533,-0.46280357,-0.029119426,0.106731,-0.37871465,0.12361117,-0.05428071
chr12-75595911-75596770,-0.27804023,0.32688013,-0.19597873,-0.1544492,0.23423979,0.44287178,0.15407841,0.6084803,-0.28664246,-0.40098053,-0.38046372,0.35387674,0.20804504,0.43328238,-0.01809692,-0.117771454,0.39115587,-0.063040376,-0.4821166
chr12-75735182-75735923,-0.1814519,0.2646804,-0.47043207,0.016610384,-0.051177874,0.5831177,-0.12829268,0.2951319,0.2579606,0.28207856,-0.026646212,-0.043964483,-0.33933017,0.13736546,-0.021826904,0.0026031877,0.32609564,-0.025803616,-0.33812678
chr12-76081468-76082410,0.4162959,-0.9120237,0.58765215,0.41442212,-0.24374048,-0.80569685,-0.13082553,-0.57993275,0.7306048,-0.11621203,0.6217117,-0.46875173,-0.36423433,0.3595155,-0.09568771,0.27284858,-0.7979451,-0.4210494,-0.10783093
chr12-76326097-76326969,0.77957886,-1.3348718,0.26371464,0.9867074,-0.63482517,-1.4783311,0.8793364,-1.8343486,0.12864757,0.10458695,0.38205615,-0.45472682,0.26611716,-0.0109882355,-0.0023923672,-0.13059956,-1.0882093,-0.13957149,-0.03054652
chr12-76546514-76547446,-1.468645,1.4719772,-1.3492551,-1.0527717,-0.79009104,1.8332815,-1.3050339,0.5204913,-1.2364018,-0.6111983,-0.52094716,-0.54291856,-0.3759727,-0.89051026,0.122593716,-0.11374836,0.6010062,-0.28957984,0.2369316
chr12-76820362-76821208,0.52004164,-1.3386844,0.30888152,0.7888149,-0.7710904,-1.1776385,0.7839339,-1.753817,0.6831197,-0.027184505,-0.008374866,-0.95973366,0.18091753,0.012431984,-0.026817521,0.26821765,-0.99494934,0.2660367,-0.01716824
chr12-76821825-76822591,0.3535446,-0.94567066,0.23857191,0.54036075,-0.12363225,-0.8944247,0.5922375,-0.8918793,0.21673459,0.051779836,0.032797817,-0.3879253,0.2572902,-0.2739847,-0.03024192,0.01076638,-1.1276635,0.25527343,0.0942153
chr12-78350532-78351438,-1.0639242,0.31673306,0.119639575,-0.7127419,-0.36481205,-1.0527223,-1.0298066,0.7554816,-0.602376,1.6364561,-0.5538757,-0.4527606,-0.17309171,-0.7837536,0.3071683,0.85121906,-0.32002735,-0.68427545,0.3229477
chr12-79172123-79172934,0.23469906,0.14816879,-0.3257151,-0.18239872,0.20382288,0.30526364,0.03460854,0.6424892,-0.45253265,-0.09815496,-0.19767024,0.46434116,0.22552761,-1.3394339,0.012028074,-0.023585362,0.4865475,-0.1005667,-0.7044585
chr12-79208647-79209459,0.37999758,-0.40561447,0.38338676,0.26120967,-0.56496316,-0.5520594,-0.7127304,0.29522383,-0.062337693,0.56749207,-0.17785285,-0.42914551,0.080099836,0.1526597,-0.04300617,-0.019038,-0.012859907,0.111114495,0.2890786
chr12-80132221-80133067,-0.041141704,0.24792969,-0.6350953,-0.39224485,-0.023757087,0.739106,-0.69142264,0.7967761,-0.15129827,0.25875154,-0.064772375,-0.0028881333,0.09693922,-0.07873498,-0.01161629,-0.04488133,0.56564885,-0.038806126,0.11259843
chr12-81594626-81595490,-0.4979187,0.2905288,-0.2900042,0.07021708,-0.060187437,0.44300216,-0.29290125,0.3002058,-0.15095079,0.39520928,0.010647225,0.07433343,-0.20060104,-0.09926184,0.0020727855,-0.0194936,-0.19598962,-0.04372766,0.052495174
chr12-81631045-81631827,-0.022821188,0.4247892,-0.14939316,0.18877546,0.14264539,0.48685116,0.1504372,-1.3483127,-0.3480288,0.35081458,0.2582034,-0.5747233,0.58601403,-0.10552559,-0.030549439,-0.0808756,-1.2396232,0.08695928,-0.22931734
chr12-82072509-82073419,0.25887185,0.21977003,0.76165766,0.8774231,-0.6277015,-1.2629225,1.1563774,-1.121513,-0.70920396,-0.13410348,0.2528902,-0.26344684,-0.061222028,-0.44588983,-0.28234255,-0.00036033217,-0.64809126,-0.3696125,0.68472314
chr12-84038252-84039153,-0.0721831,-0.45527217,0.4417061,-0.0659222,-0.038201842,-0.3238991,-0.15737894,-0.10886922,0.334264,0.08530238,0.0027687196,-0.4331322,0.037575375,-0.020968767,0.010488009,-0.0022272195,0.11300197,-0.020414498,0.033312898
chr12-84100613-84101554,0.10662841,0.48995748,-0.15578824,-0.029986847,-0.30978197,0.5767744,-0.09942102,0.19187443,0.018384388,-0.31326887,-0.011955803,0.33334413,0.028883766,-0.6503838,0.03063154,-0.06722042,0.044542193,0.002835038,-0.13420768
chr12-84147981-84148871,0.27149028,-0.4830139,-0.147229,0.37127993,-0.07760544,0.05366935,0.40771544,-0.844103,-0.046085034,0.0954761,-0.039805207,-0.0051446385,0.044654433,0.06374757,0.0011038048,-0.025574692,-0.326958,0.005820078,-0.05576459
chr12-85150611-85151425,0.17856716,-0.29875273,0.18356605,0.34351468,0.2822415,-0.5099248,0.26875067,-0.8500562,0.17765492,-0.36168867,0.039609887,-0.3019176,0.12165215,0.02935624,0.0059366594,-0.018659811,-1.3195467,0.041590855,-0.27762347
chr12-86421286-86422141,-1.4594841,0.51474935,0.8939042,-1.288047,0.7267707,0.23669231,-1.4171607,0.9624965,-0.0443651,0.043676622,-0.40661183,-0.40722334,-0.17961214,0.57492125,0.39690363,-0.10327729,-0.1586124,-0.46318328,-0.53560925
chr12-86681924-86682786,-1.4127364,-0.41391775,0.94085693,-1.7382108,-0.25103325,0.10893176,-0.9051404,-1.4258944,1.3341497,1.1714514,-0.16256139,-0.7065156,-0.69016796,0.715528,0.027411707,0.16810861,-0.40258867,-0.19354004,-0.5850498
chr12-86888130-86889035,0.09627829,0.19545247,-0.13453805,-0.18161896,-0.14990179,0.14562222,-0.03040053,1.1038115,-0.3086588,0.059865806,-0.029387632,-0.0021522474,-0.12883486,-0.1273196,0.0035894886,-0.06971684,0.90302426,0.0022990697,-0.22160926
chr12-86989872-86990614,-0.1514015,-1.0374546,0.5708057,0.46190745,-0.28871474,-0.15829425,0.30422872,-0.53518283,0.7492718,-0.16421095,-0.084053025,-0.62342656,0.16725436,-0.23333006,0.0054473933,0.23989777,-0.51866573,-0.061232656,0.06043062
chr12-87026301-87027230,0.36092988,-1.0148607,0.5916301,0.44128138,0.23718414,-1.2958671,0.2279491,-0.7826152,0.1594442,0.4576505,-0.09943034,-0.031290572,0.2768665,0.021418916,-0.017664086,0.0037987826,-1.0978602,-0.52608645,0.13810569
chr12-87471668-87472526,0.4546275,0.16230692,-0.21311027,0.02685019,-0.52520186,0.61623216,-0.12844615,0.6575863,-0.7312739,0.20297356,-0.07255385,-0.48379958,0.10289687,0.18884201,-0.010270009,-0.02908531,0.13184288,-0.1146463,-0.11260779
chr12-88722461-88723361,0.599507,-0.48715883,-0.29015994,0.3489755,0.5314883,-0.19044831,0.7578924,-0.6872876,-0.42025453,-0.45112258,-0.13784994,-0.44859192,-0.4805753,0.38757634,-0.023370799,-0.06389768,-0.59901774,0.06745466,-0.10743799
chr12-89811902-89812827,-0.46345302,0.33968586,0.19418006,0.5050381,0.4694935,0.36027333,0.057510924,-0.33964202,-1.3400425,-0.19530872,-0.057364102,-0.050185192,0.18405207,0.1000786,0.008411383,-0.08312419,-0.048984133,0.017463058,-0.5079278
chr12-97061246-97062148,-1.3638872,-0.4740105,-0.55671054,-0.8741276,-0.0091192555,-1.0137441,-0.20291498,1.2090795,-1.0928874,1.5523516,-0.63238835,-0.00918336,-0.15740184,-0.36539254,0.96250266,1.0411596,-0.2864881,-0.99959034,-1.190173
chr12-100898823-100899721,-0.5688537,-0.31249493,1.1254247,-1.1921706,1.2438756,-0.45135057,-0.8347153,-1.303475,0.06838995,0.32057548,-0.23616536,-0.09312591,-0.13416319,0.35013175,-0.09436201,0.1736492,-0.4014797,-0.04220005,-0.030293379
chr12-101975498-101976385,-0.31548682,0.30566725,-0.5715856,-0.04183107,0.25878358,0.43594742,0.2412804,0.6792112,-0.23266682,-0.10061766,0.06039406,0.7077179,-0.9606595,0.4112843,-1.143311,-0.40219665,0.5390642,-0.032110225,-0.5952132
chr12-105962522-105963340,0.20634025,0.28587216,-0.017341927,0.1431853,-0.015005731,0.5646635,-0.7871485,0.31954783,-0.008900047,-0.6375077,0.0050970362,-0.48689502,-0.15609026,-0.05900819,0.008448006,0.008172566,0.4162695,-0.015494829,-0.23243164
chr12-107975558-107976169,0.8242205,-1.289577,0.43959448,0.17868802,-0.67840016,-0.16099133,-0.24468146,-0.7705438,0.7258866,-0.2740776,0.17349452,-0.17680472,0.0030782563,-0.40117896,0.033914737,0.1548677,-0.4914734,0.11407104,-0.18513587
chr12-108000231-108001097,0.70358473,-0.77818763,-0.7944778,0.7976234,0.03397931,-1.3215294,0.8885036,-1.4617698,0.3504168,-0.8753294,0.056818828,-0.4990787,0.25605315,-0.2428592,0.028088927,0.0025985695,-0.9751078,0.4847708,-0.108833775
chr12-108005760-108006530,0.0003331515,-1.1824175,0.45526975,0.4122873,-1.2914451,-0.6172194,0.5721615,-0.88759124,0.41225812,0.54283243,0.18620749,-0.6163988,0.19952047,0.5411332,0.07467813,0.046865083,-0.93069017,0.15764843,-0.44316688
chr12-108422696-108423636,-0.14053029,0.5436126,0.057449337,0.077559866,-0.37212652,0.1855404,0.17203104,-0.09202745,-0.079624906,0.22342756,-0.005850912,0.2731008,-0.013472988,-0.03470925,0.010196903,-0.019073429,-0.20649076,-0.14723082,-0.09555655
chr12-108432525-108433441,0.9223403,-0.6519829,0.44132367,0.6406569,-0.84631866,-0.8001355,0.36269543,-0.8551715,0.53772056,0.17590682,-0.15279561,-0.36424598,-0.23310058,-0.25002512,-0.024582071,0.0955315,0.034705404,-0.14859624,-0.14140892
chr12-108701845-108702585,0.20025024,0.013534668,-1.4847726,-0.7854011,-0.7126251,-1.1094804,0.7153396,1.6447695,0.25372493,0.049357206,-0.4463112,0.3534958,-0.46596834,-0.27572766,-0.20177367,-0.2597716,1.4195199,-0.16409265,0.15654385
chr12-108765683-108766496,-0.5617725,0.37232098,-0.8343474,-0.68767464,-0.5217917,0.5644493,-0.8667782,1.1279871,0.06432956,1.0786558,0.088328354,0.32670376,-0.008734203,-0.70531636,-0.27561384,-0.33074775,1.2660636,-0.053931464,-0.5846458
chr12-109052867-109053659,0.25195986,-0.83254904,-0.59897166,0.7590638,0.54180783,-0.89337397,0.061616305,-0.10274963,-0.33399355,0.039457876,0.078807086,-0.5008548,0.48348486,0.3736866,0.19424005,-0.1317225,-0.8350749,-0.436019,-0.28457946
chr12-109544675-109545575,-1.2404239,-0.25861287,0.57311916,-0.2031045,-0.3980455,-1.2086607,-0.5659668,0.4464392,-0.5021756,1.5039885,-0.5572375,-0.20123369,0.08791698,-0.81212354,0.54275244,0.95569104,-0.6920512,-0.9342994,-0.082992725
chr12-109559176-109560064,-0.1337351,-0.9942566,0.34491572,-0.26793742,0.4594914,-1.7112733,-0.66412735,-0.27297157,0.59890085,1.1467959,-0.06300567,0.11722298,0.093599334,-0.12855133,0.04793386,0.0656166,-0.9280109,-0.06479984,-0.44243687
chr12-109571077-109571965,-0.5465625,-0.27583107,0.29826632,-0.072685085,-1.0741614,-0.5288889,0.3082836,-0.5606088,0.20988965,1.4155798,-0.079235315,-0.67993474,0.39434332,-0.6866743,0.07330519,0.6442502,-0.17920639,-0.44700974,-0.27504957
chr12-110888802-110889732,0.11876189,0.29665205,-0.25782046,0.06284072,0.04800191,0.41880196,0.0075897286,0.533229,-0.24518478,0.2079832,-0.08302068,0.57218015,-0.10017748,-0.11852246,-0.43162438,-0.04187656,0.42061013,-0.009929925,0.051925916
chr12-111559578-111560383,0.3443172,-0.74602115,-0.38782048,0.43136752,-0.37737298,-0.9238256,-0.11738341,-0.5833166,1.1784924,0.4258488,-0.1805616,-0.029678898,0.21295802,-0.43045363,0.1469356,-0.19502147,-0.22066323,-0.1948866,0.044943027
chr12-111668322-111669023,0.15350527,-0.107502624,-0.45771196,-0.4675536,-0.0020038795,0.43361187,0.07385253,0.48022857,0.17418918,-0.37284547,-0.0057541886,-0.17636329,-0.046054978,-0.0042798524,0.0040434306,0.018088778,-0.28421333,-0.016196182,-0.015907327
chr12-111677701-111678583,-0.31755954,0.47640792,-0.0030147023,-0.084856406,0.032456167,0.24561676,0.19720738,-0.042528003,0.026574554,0.12514128,-0.0050589256,-0.3701937,-0.025662752,0.15307143,-0.01836877,-0.00208325,0.42355767,-0.027402362,-0.045204874
chr12-111794276-111795156,0.03163722,-0.4396349,0.15679045,-0.90825087,-0.8949772,-0.8100153,-0.389781,0.98160464,0.40826863,1.3050789,-0.16746075,0.13666238,0.09001255,-0.5525362,0.052832395,0.3335298,-0.75732493,-0.20129113,-0.43338552
chr12-111808722-111809265,-1.220614,1.2480639,0.13066722,0.097188026,-1.2219807,1.4958589,-0.0728259,-1.1968596,-0.6499896,-0.40900666,-0.05960599,-0.6110559,0.409528,-0.16912304,-0.033742927,0.11266526,-0.65150726,-0.38337862,-0.46434745
chr12-112510734-112511483,0.1667063,-0.739786,0.5780389,0.511369,0.103724994,-1.1141688,0.4571821,-1.4537034,0.21469454,0.21277998,0.41791236,-0.8906231,-0.2703763,-0.26758474,0.06719857,0.05849985,-1.1808336,-0.11698147,-0.26520005
chr12-112620683-112621126,-0.098560184,0.74661905,-0.4385116,-0.21019033,-0.118351325,1.245893,-0.6925639,-0.8938781,0.44544333,-0.11437082,-0.15116547,-0.50930965,0.12610835,-0.15906444,0.059256487,-0.13506527,0.09443824,-0.21492198,-0.43645197
chr12-112667491-112668436,-0.1256531,0.751503,-0.5566935,-0.39391798,-1.1337066,-0.015385504,-1.1335361,1.3767532,-0.36638573,0.47327426,-0.64295226,0.05379318,-0.61460596,-0.025762348,0.4705531,-0.30090806,1.1470051,-0.5720098,-0.33015174
chr12-112802083-112802968,-0.6725444,-0.37436932,0.82504207,-0.33795363,-0.20356287,0.14373098,-0.01253856,0.24797684,0.022775117,0.6223346,-0.1465856,-0.70235354,0.51548946,-0.3674637,-0.039548784,0.5399972,-0.35472816,-0.42292005,-0.4448214
chr12-116485623-116486112,0.10135616,-0.92194045,0.04282741,0.23585744,0.66268337,-0.2913505,0.4504248,-1.1427056,0.14571157,-0.1962804,0.22060056,-0.52921057,0.37227023,-0.5244008,0.041701466,0.22845575,-0.8544097,0.0011635759,-0.45096898
chr12-117345161-117346020,-0.4028156,0.95625687,0.28983527,0.27189952,-0.20436539,-0.07421408,0.100597516,-0.8200904,-0.29655948,0.042871486,0.0019152334,0.24368818,0.051984247,0.004944989,0.006286125,-0.028080666,-0.5432613,-0.09719035,-0.0013121734
chr12-117533852-117534576,0.03841048,0.37262565,0.38074616,0.172664,-0.07364095,-0.38508108,-0.2135058,0.8827976,-0.29093844,-0.6517325,-0.016220992,-0.2904722,0.010836426,-0.10359489,-0.019532789,0.03720452,0.23280357,0.0014916556,0.0072883065
chr12-117688618-117689353,0.5226954,0.27516556,-0.24260235,0.45515153,-0.017696522,0.4908258,0.086302675,-0.7156373,-0.5158737,-0.6092464,0.12617993,-0.73470765,0.013786768,-0.3729601,0.12519883,-0.21300088,-1.1477239,0.011869932,0.47727934
chr13-6647061-6647661,0.267324,-1.1355474,0.33381692,-0.14332722,0.045653097,0.22180437,0.17809376,0.057064947,0.44193363,-0.08571316,0.052909076,-0.40730628,-0.04953784,-0.011814337,-0.0027362963,0.011101636,-0.5652696,-0.08918086,-0.120858125
chr13-6648373-6649177,-0.024668109,0.32118925,-0.06810585,0.052389465,0.0070820297,0.6860953,-0.01661575,0.06193017,-0.104649924,0.155432,0.0138251195,0.0048915828,-0.07769871,-0.033063263,-0.0058704047,-0.011585965,0.20462064,0.0005972163,-0.027764043
chr13-8885375-8886288,-0.51000714,0.2515395,-0.15022643,-0.32984972,0.1938447,0.6083211,-0.1052832,0.56314594,-0.103248216,-0.09419859,-0.01818274,0.14893281,-0.051087007,-0.41461965,0.030318322,-0.21018744,0.41207725,0.011038024,-0.014585128
