,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,Shared topic 14,Shared topic 15,Epigenomics private topic 7,Epigenomics private topic 9,Epigenomics private topic 10
Mob3b,-0.52280235,-0.4194507,-2.3094633,-0.7284083,-2.0032058,-0.46275783,-0.71684116,-0.75739455,-0.664135,-0.666117,-0.662689,-0.52492523,-0.6296339,-0.50070536
Adamts17,-0.53647083,-0.57159793,-2.0335753,-0.62104636,-1.4826111,-0.6621382,-0.42988583,-0.44494283,-0.5022917,-0.49061677,-0.5037784,-0.64638776,-0.5645842,-0.555419
Sik3,-0.44821012,-0.28009444,-0.95925426,-0.36489487,-1.5480763,-0.4076077,-0.63800067,-0.6479081,-0.49363664,-0.51663655,-0.48827055,-0.35644037,-0.49766165,-0.43083814
Zfp462,-0.72365075,-0.5779116,-1.3848034,-0.47178668,-1.819807,-0.63259953,-0.6448689,-0.711099,-0.60236776,-0.6027691,-0.5998208,-0.65172684,-0.65984845,-0.6810439
Fndc9,-0.96538043,-0.94818133,-1.6137915,-0.5994037,-1.6926122,-1.0578756,-0.3959869,-0.4027897,-0.5972927,-0.5586494,-0.6012203,-0.97558504,-0.91048926,-0.8681392
Plcb4,-0.43197757,-0.51817405,-2.078723,-0.60183007,-1.4022895,-0.52870405,-0.4395056,-0.42981926,-0.47157487,-0.46875703,-0.4723327,-0.5458331,-0.58254033,-0.3711601
Tpcn1,-0.4477453,-0.61284435,-2.3110235,-0.79596734,-2.1286001,-0.33177146,-0.7619752,-0.7597783,-0.7061562,-0.7088485,-0.7068967,-0.30084506,-0.48249218,-0.5716729
Fam214b,-0.39194784,-0.5340084,-2.5159316,-0.7662864,-2.10353,-0.42699617,-0.7706679,-0.7480455,-0.6880875,-0.7069662,-0.6887818,-0.441562,-0.50489676,-0.40382034
Ccdc12,-0.4508357,-0.54701746,-1.5838172,-0.59234375,-1.9770883,-0.63462806,-0.7451108,-0.7313614,-0.6492919,-0.65825015,-0.64863986,-0.57776487,-0.47356626,-0.4357373
Mcf2l,-0.4965679,-0.6812559,-1.270183,-0.47301558,-1.368455,-0.6754642,-0.4366552,-0.37959844,-0.45796087,-0.45604584,-0.4584805,-0.68767434,-0.59790105,-0.3450451
6030466F02Rik,-0.7530132,-0.52799183,-2.5650685,-0.84485865,-1.6356794,-0.70041025,-0.41828924,-0.4149135,-0.58302814,-0.5396505,-0.58878964,-0.65247005,-0.8012413,-0.79070735
Mir199b,-0.7061423,-0.5999542,-1.5783058,-0.5040394,-1.5009215,-0.872982,-0.37333417,-0.42085877,-0.51318777,-0.5100563,-0.51482075,-0.85361433,-0.68353665,-0.68831444
Fgfr3,-0.50481033,-0.58803916,-3.1341453,-0.99536335,-2.44624,-0.22969657,-0.8940159,-1.0080655,-0.78506464,-0.81821114,-0.78161377,-0.07155645,-0.72182834,-0.6302292
Kcnj4,-0.8840051,-0.99720645,-1.4730612,-0.5419513,-1.8664196,-1.1238196,-0.49611104,-0.42440367,-0.65871805,-0.6150483,-0.6657618,-1.1542473,-0.9272524,-0.81375957
Zfp516,-0.56932545,-0.3922672,-1.7308551,-0.52375686,-1.9779131,-0.42653173,-0.8030601,-0.8405224,-0.6276099,-0.6449145,-0.6238696,-0.38248968,-0.48264438,-0.6668019
Mir8104,-0.60752666,-0.69384277,-1.8379157,-0.60221654,-1.4523828,-0.7018176,-0.36858013,-0.36943904,-0.4999641,-0.4888741,-0.50362533,-0.71018493,-0.5410454,-0.60272515
Eng,-0.32079417,-1.0195501,-3.1036997,-1.0314484,-2.863236,-1.1465555,-1.0170932,-1.0789409,-0.94953465,-0.9541487,-0.9507901,-1.1040527,-0.8478359,-0.14251274
Sept9,-0.3378495,-0.487411,-1.8142389,-0.6461048,-1.3566061,-0.47733,-0.38864017,-0.393599,-0.4606352,-0.45840496,-0.4643083,-0.4261871,-0.41547653,-0.36560795
Ctnnd2,-0.49558276,-0.3918304,-0.7373948,-0.31988174,-0.97522664,-0.40545976,-0.33243486,-0.32296827,-0.32559848,-0.32533768,-0.32563516,-0.39308256,-0.3969161,-0.49701402
Notch4,-0.35518244,-0.5496111,-1.2648593,-0.4676326,-1.4330304,-0.5665131,-0.48778707,-0.5117672,-0.47705027,-0.4773237,-0.4768431,-0.56179476,-0.34220952,-0.3370899
Celf2,-0.5080675,-0.47902793,-0.4029223,-0.22007164,-0.8053633,-0.52781713,-0.2030012,-0.18728411,-0.27721113,-0.26720086,-0.27927494,-0.5101116,-0.46472192,-0.48519415
Sox2,-0.7349215,-0.20832452,-1.7386686,-0.4350304,-2.4933605,0.011785209,-1.1373959,-1.1403863,-0.6704657,-0.9727833,-0.48404002,0.0088992715,-0.5942985,-0.8179408
Smad6,-0.22532609,-0.56613564,-2.1142633,-0.71702504,-2.2139208,-0.44532162,-0.88823384,-0.9513303,-0.7182143,-0.7335313,-0.71518695,-0.43637505,-0.6284893,-0.22559002
Nrarp,-0.25707686,-0.24327385,-2.148521,-0.63988525,-1.7527523,-0.12642565,-0.69780636,-0.78510106,-0.54041696,-0.60158896,-0.5335005,-0.078983694,-0.2808554,-0.29313815
4930506A18Rik,-0.8296299,-0.7943499,-1.1427631,-0.45622158,-2.071165,-0.8026803,-0.728882,-0.6944761,-0.6823891,-0.6903788,-0.6806941,-0.8321948,-0.81725824,-0.7936361
Ptch1,-0.5390333,-0.54011273,-1.6563947,-0.51842874,-2.0405486,-0.3351431,-0.8196193,-0.84717315,-0.6458927,-0.69678134,-0.6382033,-0.34756422,-0.58619124,-0.5266043
Ywhaz,-0.4926843,-0.5862516,-1.3695545,-0.52609384,-1.7459877,-0.57158387,-0.6226556,-0.6131126,-0.5789335,-0.58045137,-0.57824594,-0.57854044,-0.5279993,-0.49986184
Tmcc2,-0.69293207,-0.32701775,-1.7657695,-0.6052173,-2.0939429,-0.5488287,-0.8002474,-0.8859607,-0.6807439,-0.6946789,-0.68035746,-0.5314544,-0.7088899,-0.6678727
Tbc1d1,-0.34114635,-0.6005353,-1.7791584,-0.57396007,-1.5587399,-0.49834207,-0.5208242,-0.52739316,-0.519414,-0.51910716,-0.5193826,-0.5200275,-0.47483823,-0.3349435
Shisa4,-0.83908904,-0.41046882,-4.0151196,-1.2933052,-1.9052849,-0.65188277,-0.45113426,-0.4244288,-0.68720806,-0.6212188,-0.7309316,-0.5171949,-0.87076604,-0.92433125
Mir219b,-1.2684257,-0.08120108,-4.050439,-1.343426,-3.032109,-1.0963426,-0.9480471,-1.0856361,-0.99445355,-1.0208119,-0.9994634,-0.83419526,-1.136926,-1.1646498
Col15a1,-0.5365499,-0.68845344,-1.9660565,-0.8092225,-1.7079031,-0.87309945,-0.4925689,-0.44942644,-0.5870194,-0.5705173,-0.5973594,-0.8487532,-0.28906062,-0.6648764
Krtcap2,-0.49089307,-0.7446347,-1.4270319,-0.5046396,-2.046938,-0.7471068,-0.69763166,-0.7745873,-0.6770966,-0.6913398,-0.67666036,-0.81374204,-0.7068594,-0.37994897
Mir9-2,-0.8447801,-0.61218053,-1.9107524,-0.6138846,-1.6674881,-0.40737045,-0.4910052,-0.48205754,-0.5587154,-0.5579614,-0.5596819,-0.38259104,-0.76480615,-0.95645034
Sez6l,-0.6975043,-0.5944223,-2.137734,-0.60510254,-1.2790282,-0.64969134,-0.32139194,-0.34103218,-0.4621052,-0.4123791,-0.4576652,-0.62205076,-0.64553714,-0.6912465
Chchd6,-0.69582206,-0.71716744,-2.008387,-0.5985795,-1.6511424,-0.80803597,-0.47840583,-0.4931367,-0.556694,-0.5503045,-0.5573115,-0.78102857,-0.7054148,-0.67111206
Phf23,-0.29962394,-0.48089612,-1.8768718,-0.58216333,-1.8035364,-0.34795222,-0.6430621,-0.661954,-0.592851,-0.6019574,-0.59384686,-0.36871743,-0.38261253,-0.3493522
Map3k12,-0.553407,-0.53778076,-2.0044801,-0.6308668,-1.9073925,-0.45688492,-0.6661084,-0.6423033,-0.6338376,-0.63572556,-0.63364214,-0.44435537,-0.5594204,-0.59879315
Mir6402,-0.908556,-0.69353265,-2.5756593,-0.8139178,-1.7931508,-0.66271156,-0.53548074,-0.4522966,-0.61776406,-0.61101085,-0.6228884,-0.7960854,-0.8815088,-0.81884027
Trabd2b,-0.56101215,-0.62254894,-2.041097,-0.708053,-1.5211229,-0.72022235,-0.40035462,-0.37080348,-0.5298078,-0.49904957,-0.5356602,-0.72448915,-0.64855444,-0.60831475
Lfng,-0.3035983,-0.51757044,-2.4725685,-0.818459,-2.4268153,-0.13879639,-1.0182213,-1.0477371,-0.7317629,-0.87960035,-0.716188,-0.11638117,-0.4595755,-0.3407423
Slc4a4,-0.5952813,-0.5850494,-0.29011264,-0.26259208,-1.4678196,-0.4471179,-0.5413747,-0.5705837,-0.47165188,-0.4850774,-0.467806,-0.34468815,-0.51188666,-0.63643235
Junb,-0.14597905,-0.5846943,-1.8902735,-0.60678583,-1.6630218,-0.53049135,-0.56416684,-0.5461429,-0.5532768,-0.5557481,-0.5540594,-0.54326254,-0.21719787,-0.17879137
Extl3,-0.39050978,-0.6951638,-2.2699535,-0.71272093,-1.9865321,-0.7102803,-0.6070815,-0.699009,-0.6639977,-0.6646237,-0.66496444,-0.7340025,-0.5262096,-0.31897777
Pde4b,-0.47947508,-0.19038776,-0.9493847,-0.33019948,-1.1508392,-0.51725733,-0.4140174,-0.44044542,-0.38182622,-0.3829287,-0.38100693,-0.44962773,-0.41000843,-0.416963
Pacrg,-0.42201832,-0.07608822,-1.7518576,-0.4617887,-1.4241536,-0.29854834,-0.60557276,-0.5966847,-0.4553111,-0.46983513,-0.4496999,-0.23418145,-0.2930146,-0.4323863
Mir770,-0.5006809,-0.87018764,-2.0796978,-0.59087205,-1.5278432,-0.9010678,-0.6142686,-0.43733218,-0.5068556,-0.50496095,-0.4975201,-0.8026633,-0.44544017,-0.50715774
Gm10421,-0.9959061,-0.77569366,-0.8891146,-0.28229186,-1.9772661,-0.5331292,-0.6483143,-0.8137487,-0.6398892,-0.666226,-0.6187606,-0.5524198,-0.7576083,-1.0205035
Dscam,-0.55117995,-0.3278301,-1.2371715,-0.38965988,-1.0208158,-0.5385916,-0.31520578,-0.27539766,-0.34231722,-0.3407627,-0.34169862,-0.5371605,-0.4282544,-0.5271684
Nt5dc2,-0.5054461,-0.5781866,-2.0422006,-0.69735754,-2.6514802,-0.37525994,-1.1328833,-0.9883827,-0.8047136,-0.9569336,-0.7994906,-0.47060338,-0.642895,-0.52266103
Arhgap22,-0.614823,-0.61608887,-1.983358,-0.72287416,-1.6106825,-0.7659738,-0.49613306,-0.45913908,-0.5437052,-0.5333689,-0.5460421,-0.7366778,-0.39891493,-0.6240269
Kifc2,-0.49893904,-0.48949772,-2.0003233,-0.6564427,-1.990165,-0.53137535,-0.7285091,-0.67941695,-0.6597267,-0.66380584,-0.65985364,-0.53142273,-0.5804134,-0.5274395
Gm5441,-0.95824516,-0.8316184,-0.92587966,-0.32034817,-1.843694,-0.6799709,-0.60628736,-0.71342146,-0.6111427,-0.6107589,-0.60172135,-0.73547155,-0.81665593,-0.92819095
Chmp2a,-0.5507334,-0.49205664,-2.0714326,-0.63682127,-1.9551816,-0.48616272,-0.69803643,-0.6947137,-0.6469968,-0.6517311,-0.64682645,-0.5559901,-0.5175755,-0.5969194
Thsd7b,-0.5698439,-0.54911405,-1.4839178,-0.41017762,-1.2747484,-0.5556092,-0.43330994,-0.3877484,-0.42528784,-0.42284647,-0.42479223,-0.5669482,-0.5081795,-0.58000267
Snord19,-0.4968425,-0.56093764,-2.0328908,-0.6615793,-2.1024346,-0.49864042,-0.8221783,-0.8088102,-0.692951,-0.70092374,-0.6920603,-0.56755924,-0.63123906,-0.38176826
Fyn,-0.5014206,-0.27465516,-1.4327552,-0.43611434,-1.4154415,-0.4038573,-0.5045632,-0.589427,-0.46652684,-0.47087958,-0.4648722,-0.32981843,-0.48061743,-0.48948967
A230009B12Rik,-0.78523576,-0.1407494,-3.317825,-1.0102612,-2.8269513,-0.72324973,-1.1559889,-1.1519315,-0.8653912,-0.96015066,-0.85534436,-0.54027367,-0.62218076,-0.79564697
Asph,-0.68536013,-0.65226126,-1.2684805,-0.5198515,-1.7405894,-0.60562044,-0.5781068,-0.607842,-0.5794001,-0.5798947,-0.57927954,-0.56002253,-0.5734742,-0.7362574
Hdac9,-0.46835557,-0.48278302,-1.53697,-0.44411105,-1.2228382,-0.51631594,-0.39892295,-0.38725954,-0.4093908,-0.40708718,-0.4095046,-0.5325411,-0.45363078,-0.48974493
Mir7238,-0.3835187,-0.3320223,-1.4893486,-0.47078177,-1.7335536,-0.2330614,-0.71603626,-0.67155254,-0.5507099,-0.62318295,-0.5476676,-0.2906124,-0.35609362,-0.38209683
Nckap5,-0.46788004,-0.2560069,-0.9965139,-0.33087042,-1.0754025,-0.39713478,-0.41446579,-0.40704972,-0.35624537,-0.35610044,-0.35570723,-0.35114104,-0.3830727,-0.5176077
Gramd1b,-0.6405405,-0.52089745,-1.3888694,-0.49774355,-1.2518001,-0.53890526,-0.31810427,-0.29688308,-0.430469,-0.4246012,-0.43384516,-0.52170575,-0.61638594,-0.6427655
Mthfd1l,-0.39907932,-0.5789569,-2.0346153,-0.65059286,-1.9003351,-0.7793947,-0.62772554,-0.6428429,-0.6335803,-0.6330537,-0.6340202,-0.73926944,-0.6014785,-0.34076124
Reln,-0.6564894,-0.63095206,-0.76293886,-0.4413465,-1.5451096,-0.70557207,-0.54529023,-0.5765525,-0.51463115,-0.51067907,-0.5146855,-0.71871257,-0.6278819,-0.6218844
Trim47,-0.16162395,-0.86862993,-2.9966135,-0.9924346,-2.8109453,-0.746717,-1.1123254,-1.0724745,-0.89716166,-0.96654886,-0.89934075,-0.8925442,-0.407282,-0.18080348
Glis3,-0.59162015,-0.49791119,-1.2001582,-0.40535635,-1.434547,-0.4482653,-0.47954875,-0.5239302,-0.47779477,-0.47658613,-0.47755176,-0.44902,-0.5377458,-0.6434908
Sorl1,-0.69559693,-0.568937,-1.8614776,-0.6379297,-1.3730997,-0.57777995,-0.32470566,-0.33704358,-0.4901807,-0.4689001,-0.49250463,-0.5800278,-0.61355454,-0.7275217
Mir7005,-0.5121233,-0.613603,-1.4726217,-0.56920356,-1.819099,-0.5373497,-0.67438245,-0.7250473,-0.600807,-0.60103774,-0.6001997,-0.5223727,-0.66214484,-0.5227817
Mknk2,-0.28039008,-0.58962274,-2.0013504,-0.654137,-2.071196,-0.35072482,-0.7972108,-0.7963241,-0.661424,-0.7106225,-0.6635525,-0.38094562,-0.40032154,-0.2731911
Srsf2,-0.45252424,-0.5160386,-1.6701587,-0.5661982,-1.8087234,-0.47691768,-0.6569258,-0.61672646,-0.5991325,-0.60378146,-0.59895116,-0.5390811,-0.49444497,-0.46128082
B330016D10Rik,-0.30169663,-0.51447695,-1.7811613,-0.5829597,-1.9129586,-0.4310307,-0.7695601,-0.7773142,-0.6199165,-0.6464457,-0.6184879,-0.46141303,-0.50876355,-0.26045468
Lpp,-0.39837533,-0.47256655,-1.1453394,-0.4109383,-1.2330437,-0.44073227,-0.41084856,-0.42680362,-0.41082233,-0.41075444,-0.41070586,-0.39910823,-0.39743847,-0.48249125
Sox2ot,-0.78071713,-0.23674,-1.9526845,-0.50783366,-2.1094854,-0.16929856,-0.9115342,-0.9393416,-0.632977,-0.75736976,-0.597579,-0.21973911,-0.61426306,-0.8332361
Cacna1g,-0.86267376,-0.97061825,-2.7366695,-0.8393167,-1.7945087,-0.8113245,-0.36193645,-0.4522643,-0.66443163,-0.5891454,-0.67442614,-0.8937686,-0.8222123,-0.8995526
Loxhd1,-0.89917684,-0.8954905,-1.6708513,-0.6326095,-1.6762059,-1.0281677,-0.42781508,-0.3835991,-0.6059924,-0.5326361,-0.6160276,-1.0419304,-0.8021034,-0.88496006
Rbm15,-0.40135428,-0.4245967,-1.9683836,-0.6409308,-1.788589,-0.4277142,-0.64792925,-0.60571814,-0.59288573,-0.5977987,-0.5932665,-0.44413927,-0.39437687,-0.3728403
Ppm1h,-0.4877037,-0.5517195,-1.5946906,-0.50658983,-1.2885659,-0.5430884,-0.37732702,-0.3713575,-0.4327768,-0.43059132,-0.43366244,-0.54497916,-0.45591044,-0.48339424
Adk,-0.50819707,-0.44571388,-1.1830788,-0.45908508,-1.4551454,-0.42801133,-0.50496924,-0.5034917,-0.4843047,-0.48448345,-0.48408335,-0.43516013,-0.502405,-0.53859055
Nbea,-0.6269732,-0.5118449,-0.973846,-0.3515653,-1.2249625,-0.6457766,-0.40420914,-0.36880922,-0.40914434,-0.40655616,-0.41001257,-0.6638418,-0.5622467,-0.6095504
Etv6,-0.30425975,-0.50765204,-1.8056316,-0.62430435,-1.420841,-0.60482776,-0.47385982,-0.42435217,-0.4767399,-0.473042,-0.47775108,-0.6153204,-0.32213473,-0.29272896
Tcerg1l,-0.7805689,-0.699692,-1.7854836,-0.4466539,-1.9195704,-0.651966,-0.7355706,-0.7935884,-0.6288281,-0.62905276,-0.62255466,-0.7158612,-0.6845947,-0.79754215
Mir6376,-0.45181414,-0.508368,-1.5652678,-0.5750807,-1.798157,-0.60445815,-0.65971106,-0.7160656,-0.5919495,-0.5944163,-0.5917352,-0.55241966,-0.45009118,-0.4781565
Actn1,-0.4651432,-0.7723844,-1.1397139,-0.49190578,-1.8306934,-0.6908084,-0.6488887,-0.65614647,-0.6093706,-0.60932285,-0.608196,-0.7349014,-0.6036405,-0.46294463
Limch1,-0.40409535,-0.39930254,-1.2189835,-0.44026473,-1.3823113,-0.46856675,-0.47214055,-0.57620335,-0.46000788,-0.46007484,-0.45951858,-0.42136526,-0.540992,-0.31368086
Efna5,-0.6644938,-0.6792132,-2.0364556,-0.64981115,-1.4657745,-0.549901,-0.3128464,-0.3609604,-0.51946294,-0.49419653,-0.52269405,-0.5971417,-0.7126135,-0.6974394
Uvrag,-0.3976966,-0.40518543,-1.4486003,-0.46708897,-1.3884927,-0.5525102,-0.46110898,-0.4674745,-0.4627459,-0.463032,-0.46264878,-0.5424094,-0.4276738,-0.36319506
Snhg20,-0.6637994,-0.63320607,-1.4018643,-0.53744304,-1.7969849,-0.6158446,-0.59643567,-0.6616168,-0.5980471,-0.59896815,-0.59682924,-0.63267154,-0.61598796,-0.7354758
Myt1l,-0.63211584,-0.5244681,-0.53027695,-0.24873397,-1.0003083,-0.58237314,-0.2964276,-0.2796188,-0.3377544,-0.33377668,-0.33664778,-0.57196975,-0.54275084,-0.58898926
Mir135b,-0.77917516,-0.70837116,-2.2411575,-0.6024841,-1.4370162,-0.6417372,-0.32255524,-0.3404023,-0.52458364,-0.45414597,-0.52623117,-0.68894756,-0.7747151,-0.6792277
Atp8a2,-0.61094505,-0.51367635,-1.4158393,-0.4584792,-1.3605777,-0.50179654,-0.45468438,-0.44546887,-0.4540682,-0.45277786,-0.45353118,-0.5325173,-0.5626409,-0.65141606
Agbl1,-0.5936041,-0.5008278,-1.2716861,-0.41980147,-1.455889,-0.5348986,-0.51466644,-0.5756817,-0.4829017,-0.4836242,-0.4822218,-0.55149746,-0.47164664,-0.6169694
Celsr1,-0.7531584,-0.5946162,-1.6651483,-0.52838933,-2.0926337,-0.37433934,-0.83059657,-0.81732255,-0.681495,-0.6873658,-0.6758502,-0.43017197,-0.80103105,-0.79745924
Uaca,-0.3900404,-0.80320233,-2.2906914,-0.74285376,-2.220953,-0.7377748,-0.73367894,-0.8012818,-0.7403838,-0.7415498,-0.73997396,-0.7139573,-0.75042534,-0.4029309
Stk39,-0.6381018,-0.3996758,-1.6074417,-0.52554214,-1.4240476,-0.5505915,-0.4435977,-0.42703018,-0.4761055,-0.47493216,-0.47675467,-0.5505613,-0.5665705,-0.7091671
Fgfr2,-0.6120953,-0.29134005,-2.3559856,-0.7560046,-2.1324978,-0.4004098,-0.81892097,-0.8843852,-0.7003748,-0.7083771,-0.69885874,-0.37587726,-0.6454325,-0.73139906
Cbx8,-0.4148026,-0.47909456,-1.4708363,-0.47496012,-1.5886819,-0.35867107,-0.55538124,-0.6284748,-0.5256621,-0.52825224,-0.5252828,-0.45904762,-0.41084468,-0.4433987
Sh3bp5,-0.58541244,-0.67575854,-2.4620638,-0.80253136,-1.6443988,-0.88963616,-0.4196777,-0.4077856,-0.5917622,-0.548376,-0.6016536,-0.8944372,-0.61584175,-0.5534121
Smad7,-0.27183655,-0.36282617,-2.1155486,-0.75920683,-1.7989974,-0.42764294,-0.6628997,-0.64576554,-0.5927189,-0.5995391,-0.5941102,-0.47881198,-0.40193677,-0.17845449
2610306M01Rik,-0.55205005,-0.5831922,-1.6101681,-0.5143461,-1.4893074,-0.6182903,-0.45365247,-0.42129332,-0.49843073,-0.49824202,-0.49941444,-0.5314981,-0.6082342,-0.5130796
Zfp706,-0.7015086,-0.48343417,-1.4235702,-0.48981684,-1.8477149,-0.56589043,-0.67712706,-0.6832404,-0.6057293,-0.6114844,-0.60420924,-0.5588426,-0.647825,-0.7243558
Ift140,-0.335592,-0.694381,-2.337098,-0.7365622,-2.0868287,-0.7745618,-0.6905292,-0.7388882,-0.69463056,-0.6959403,-0.6948759,-0.78391707,-0.5489902,-0.2415024
Csmd1,-0.4275328,-0.40533352,-0.8438866,-0.32011303,-0.74556196,-0.4654684,-0.166204,-0.17919338,-0.25618348,-0.24425207,-0.25831896,-0.46980286,-0.3685673,-0.4131327
Mir6934,-0.68247753,-0.47532862,-1.0424027,-0.34728375,-2.093423,-0.5357677,-0.8624295,-0.8440311,-0.6404591,-0.7643177,-0.60891014,-0.5480962,-0.56828064,-0.8016651
Hunk,-0.6676403,-0.58299154,-2.602416,-0.74023837,-1.7796736,-0.51319456,-0.5305249,-0.55342793,-0.59894323,-0.5956319,-0.59951663,-0.4915236,-0.70007056,-0.74953675
Grifin,-0.40966767,-0.6435394,-2.2035286,-0.78620917,-2.1731567,-0.25963804,-0.8572749,-0.87674326,-0.70959526,-0.7162077,-0.70836,-0.17014682,-0.6597141,-0.45184234
Nav3,-0.8004297,-0.7682273,-1.82264,-0.62961346,-1.5573081,-0.85973203,-0.40663677,-0.42684227,-0.5431954,-0.51602125,-0.5459506,-0.84298074,-0.60880166,-0.78260577
Thrb,-0.6639854,-0.57711965,-1.3384154,-0.46280134,-1.3489347,-0.5663509,-0.43534672,-0.4204002,-0.45144773,-0.44942275,-0.45150036,-0.53873116,-0.6155505,-0.7109213
Plxnd1,-0.43830043,-0.6800748,-1.6108292,-0.6877574,-1.974664,-0.74337614,-0.54459053,-0.7460877,-0.6591742,-0.66024196,-0.66336995,-0.75112414,-0.7034423,-0.3598731
A330033J07Rik,-0.6858359,-0.6061539,-1.7277588,-0.62748075,-2.04549,-0.39275151,-0.8037528,-0.82741743,-0.6673279,-0.67253476,-0.6650301,-0.41096595,-0.6704549,-0.68054163
Nrxn2,-0.5832985,-0.409782,-1.6255937,-0.4513256,-1.2806673,-0.31322438,-0.39935836,-0.39714813,-0.42945525,-0.4277906,-0.42943555,-0.26462734,-0.5514226,-0.62704253
Rasl11b,-0.68790746,-0.7550161,-2.284349,-0.7726026,-1.7757928,-0.7122838,-0.42433596,-0.4452083,-0.61463916,-0.58687973,-0.62190217,-0.71170306,-0.69167155,-0.72681105
Myrip,-0.57062364,-0.5990372,-2.0115085,-0.691218,-1.2366694,-0.65650433,-0.23054615,-0.29047143,-0.46362063,-0.3828518,-0.48058212,-0.5969036,-0.6806939,-0.5096424
Eef1a1,-0.4433971,-0.55246395,-2.1635756,-0.67976964,-1.8960999,-0.46907854,-0.66351473,-0.6936536,-0.6319954,-0.63235426,-0.63179773,-0.49560398,-0.48776436,-0.48112682
Hs2st1,-0.6885723,-0.6691798,-1.9385695,-0.6150519,-1.6279756,-0.57621175,-0.40898752,-0.49249566,-0.54936254,-0.5470359,-0.5503906,-0.59353155,-0.6761743,-0.69120073
Rasd2,-0.89126176,-0.862844,-0.44034913,-0.33749396,-2.0910456,-0.8504629,-0.69251,-0.7865691,-0.69078,-0.7249273,-0.6635992,-0.824071,-0.8427671,-0.83252096
Tbc1d8,-0.7046367,-0.7371882,-0.80125976,-0.39171007,-1.9805075,-0.90116,-0.75011003,-0.7447852,-0.6471867,-0.65976006,-0.64131045,-0.90886986,-0.6277611,-0.7125098
Ptprk,-0.5445702,-0.41782984,-2.276392,-0.7478403,-1.277015,-0.63516665,-0.28278837,-0.33439308,-0.45800012,-0.41586572,-0.46569163,-0.60292,-0.60409474,-0.5206656
Anks1b,-0.5358845,-0.3951973,-0.48280498,-0.22159238,-0.8350464,-0.5181187,-0.27682206,-0.24205944,-0.27995428,-0.2773636,-0.27978086,-0.5396329,-0.44311798,-0.5029383
Ambra1,-0.8116622,-0.7081594,-1.1372452,-0.4316355,-1.9372141,-0.6914328,-0.6801851,-0.70340556,-0.6404893,-0.6487048,-0.6356328,-0.7304896,-0.8040627,-0.72928435
2610035D17Rik,-0.5815306,-0.34497273,-1.7942512,-0.5641912,-1.6026523,-0.28155282,-0.576845,-0.5634374,-0.53156525,-0.5324841,-0.5307642,-0.24106044,-0.5493725,-0.602333
Kazn,-0.4656248,-0.3064766,-1.1750386,-0.4404945,-1.6870801,-0.5529166,-0.74663174,-0.73796946,-0.5333024,-0.5441806,-0.52961856,-0.51451373,-0.49180645,-0.43774912
Calm1,-0.58173865,-0.6518483,-1.8081951,-0.5738721,-1.637286,-0.6673036,-0.5258828,-0.48876113,-0.54634994,-0.5459653,-0.5465735,-0.7053643,-0.6103089,-0.5422633
Fam19a1,-0.7080837,-0.6652583,-2.268084,-0.7160406,-1.4650644,-0.74189377,-0.32880592,-0.45917332,-0.52623355,-0.44872558,-0.5289036,-0.6890451,-0.6790432,-0.7014369
8430430B14Rik,-0.35879117,-0.3700172,-2.1667962,-0.70666945,-2.0435767,-0.40766037,-0.8027682,-0.892106,-0.65518624,-0.6823865,-0.6525827,-0.30768818,-0.44844234,-0.41675872
Cdca3,-0.3306828,-0.42035377,-1.8795074,-0.55606365,-1.8666115,-0.29715672,-0.74924755,-0.69988203,-0.6034708,-0.6442347,-0.60001963,-0.34602666,-0.4553691,-0.28508514
Gmds,-0.3201037,-0.58051103,-1.7117026,-0.53877974,-1.4656209,-0.61559683,-0.45700294,-0.4834572,-0.49049336,-0.48865527,-0.49065194,-0.58058673,-0.55540556,-0.28707695
Rims2,-0.72221947,-0.5784843,-1.2534056,-0.3763799,-1.5522006,-0.66551965,-0.5539861,-0.560676,-0.5150309,-0.5165786,-0.51225495,-0.6431438,-0.5834301,-0.711609
1700067K01Rik,-0.47596538,-0.4616748,-2.3420668,-0.71247804,-2.098183,-0.4679024,-0.7344413,-0.763375,-0.69320637,-0.7011573,-0.69287217,-0.46511972,-0.53435427,-0.48933452
Epb41l1,-0.69877493,-0.5268863,-0.9817699,-0.36042774,-1.6193424,-0.68763745,-0.6050539,-0.5874607,-0.53025395,-0.5348851,-0.5278841,-0.65593666,-0.63311315,-0.64922434
Sgip1,-0.791528,-0.57633436,-1.2274723,-0.47835308,-1.6028947,-0.7135676,-0.5288366,-0.5356684,-0.53439397,-0.5341468,-0.5350535,-0.70258164,-0.6720957,-0.7752557
Trp53,-0.5161953,-0.5736805,-2.486684,-0.8315443,-2.50626,-0.40739655,-0.9790962,-0.96331024,-0.80197525,-0.8509209,-0.80108666,-0.31834275,-0.51788056,-0.65090203
Mgat4c,-0.77373683,-0.7166735,-1.2905494,-0.47031003,-1.73408,-0.75535256,-0.6441301,-0.60121584,-0.57585806,-0.575935,-0.5741721,-0.743706,-0.6057544,-0.7727238
Src,-0.64422655,-0.5282581,-1.691161,-0.5361708,-1.7221566,-0.45522743,-0.57964754,-0.6023928,-0.57328004,-0.57361275,-0.5729362,-0.46418583,-0.6276613,-0.5974603
