,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 8,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 3,RNA private topic 5,RNA private topic 7,RNA private topic 8
SLC4A7,-0.01551561,0.15250601,0.180961,-0.28750253,-0.35915145,-0.76417786,0.37681586,-0.21303184,0.044170458,-0.18577161,-0.0040744795,-0.018385163,-0.02712201
TGFBR2,0.027792307,-0.55036485,-0.27606362,0.06543877,0.533474,0.86388,-0.2661037,0.34447762,-0.3863402,0.79510325,-0.0018377341,0.24220315,-0.20382126
STT3B,0.019854618,-0.21437445,0.15968828,-1.0350375,-0.02449849,-1.1571597,0.19742626,-0.58600235,0.04103073,-0.30251467,0.00032118752,-0.06746165,0.009056806
CRTAP,-0.0030553308,-0.6991194,-0.015568644,0.8602197,-0.023110632,0.5212753,-0.75645745,0.47157556,-0.17399025,0.38744035,0.0044471016,0.016199132,-0.036350578
ACAA1,0.0034279919,0.046366483,0.0062266,0.34849206,-0.07347992,-0.30966657,0.09261616,-1.5124967,-0.01271311,-0.12451907,0.001820527,-0.001738399,-0.014757927
MYD88,-0.002032141,0.02460992,-0.018373247,-0.45113346,0.0531419,-0.1442977,0.11645767,0.20001598,-0.00069770013,-0.023415035,-0.00075571064,0.004303481,-0.010692588
EIF1B,-0.0042554326,0.27821428,-0.020571703,-0.3106216,-0.056803413,0.4408877,0.050129484,-0.26262763,-0.0018063071,-0.013144795,-0.000853303,-0.0032011864,-0.0033619606
TRAK1,-0.0016227928,0.21161838,0.03768527,0.2822822,-0.19490798,-0.15484768,-0.36762908,0.3356024,-0.014461811,0.04000601,0.0014594516,0.00084155536,-0.073976666
NKTR,-0.0070299,-0.12977546,0.49614146,-0.7549048,-0.1165621,-0.37480798,0.18412006,-1.1301973,0.027342312,-0.26465482,-0.0035708682,-0.029001774,-0.047592
SNRK,0.0088489195,-0.36023736,-0.16325945,-0.29013824,0.07293691,0.9166106,0.3416601,-0.96158487,-0.04688799,0.55320376,-0.006126326,0.013874742,-0.03966997
EXOSC7,-0.0001968778,0.066456646,0.0729519,-1.2304163,-0.11390213,-0.38203678,0.45073164,0.1406927,0.04711944,-0.39483634,-0.0033149065,-0.00868703,-0.22788702
LIMD1,0.0061719795,0.008072469,-0.021937273,-0.55965877,-0.05269302,0.059972607,-0.17821024,-1.008729,0.00043119222,-0.025637368,-0.0016262865,-0.004817191,-0.0071048206
CCDC12,-0.0012854347,0.055928797,0.061945684,-0.4363159,-0.12448986,-0.35417494,0.003322683,-0.6276762,0.0066759433,-0.073155686,-0.0018758371,-0.010298831,0.025168952
SMARCC1,-0.002051381,0.2426714,-0.011116978,-0.65295976,0.013789669,-0.41053167,0.0019834836,0.013941711,0.0024200315,0.06347734,-0.00013663538,-0.008383921,-0.003198943
DHX30,0.00043920087,0.13508002,0.04403382,-0.63868356,0.01138334,-0.45558897,0.0824787,-0.78584313,0.009953953,-0.42175305,0.00035776137,0.014409915,-0.016727302
MAP4,-0.0011579874,0.020760885,0.019014206,-0.5165625,-0.008002318,-0.042095978,0.0293454,0.37402353,-0.0011636615,-0.04437048,-0.0023732446,0.0019658466,-0.009910477
SHISA5,-0.0011409067,0.15126401,-0.090309456,-0.16077901,-0.024501879,-0.21356924,0.17185266,-0.30883858,-0.0062564593,-0.11459816,0.0019874326,-0.00044003865,0.0026694774
UQCRC1,0.0058191004,-0.039753567,-0.1203043,0.64092416,-0.019912103,0.2964993,0.25631708,-0.55405563,-0.012903989,-0.04708571,0.0013247738,0.011805853,0.010312248
ARIH2,0.0035010562,-0.008918409,-0.018157555,-0.2712275,-0.034405492,-0.31284305,0.21719567,-0.3585705,0.004441564,-0.026749345,0.00082891487,0.004207288,-0.03670439
WDR6,0.0017361189,0.025343418,0.004143119,-0.27875534,-0.015875405,-0.26415092,0.33116528,-0.827896,0.0010359624,-0.45001644,-0.002231066,-0.005298407,0.039610352
NDUFAF3,0.00024465116,0.10504438,-0.02583735,0.3519476,-0.0023163396,-0.12673293,0.011800005,-0.070694834,-0.00695158,-0.03860678,0.00010165101,0.0037138613,0.0089540295
QRICH1,-0.004636972,0.0860155,0.0802714,-2.2721188,0.02339016,0.0065714666,0.15967745,-0.45881635,0.003579375,-0.02733882,-0.0021339366,-0.003234466,-0.024401842
QARS,-0.0018413082,0.2744545,-0.03636666,-0.02564236,-0.113479696,0.16810624,0.323338,-0.043595262,-0.006798986,0.028235998,-0.00081072765,-0.009812641,0.004987583
LAMB2,0.026437586,-0.7832786,-0.3269658,0.75734633,0.38796884,0.70408916,-0.83021283,0.6645262,-0.21888843,0.74452186,-0.020308675,0.04056279,0.048208985
USP4,-0.013774551,0.059258964,0.017553778,-0.5365542,-0.070521615,0.3663711,0.5212036,-0.6542824,0.008564151,0.083941884,0.00038240137,-0.007894183,0.0019790113
RHOA,-0.007461296,0.08567574,-0.079968825,0.6388123,-0.007694375,0.14803547,-0.032055583,0.66064876,-0.037542064,0.22592117,0.0013425112,0.0051408745,-0.001960929
UBA7,0.0007447118,0.34187806,-0.009660274,-0.99514794,-0.100295715,-1.1515852,0.22538005,-0.9704001,0.015229191,-0.49632818,0.0033089984,-0.013774514,-0.0061626043
RBM6,-0.0004986115,0.2773725,-0.036056936,-0.098906785,-0.0060867476,-0.3008365,0.19573571,-0.1359396,0.005642471,-0.4523939,-0.0011255587,-0.0017852582,0.0032297368
RBM5,0.0015255765,0.011971251,0.13094619,-1.0116825,-0.18232468,-0.4578598,0.29924372,-1.8836083,-0.027811032,-0.35376623,0.0001782917,-0.02279798,0.012545173
GNAI2,-0.0039561633,0.02349189,-0.09147467,0.16483161,0.005610981,0.53480494,0.21277322,0.10993041,-0.0051735267,-0.16533782,0.00021135049,0.004437221,0.006048758
RASSF1,-0.0012326161,-0.0764186,-0.08373453,-0.92400026,0.0037904084,-0.1654335,-0.027372615,0.38222873,-0.0099243205,0.08559245,-0.0010325339,0.002628393,-0.0018431714
MANF,0.007069754,-0.28671357,-0.09858906,-0.5505695,-0.16137585,-0.5812173,0.15324208,0.30633736,-0.0038667049,-0.18693076,-0.0014581353,-0.015710322,0.03491292
ABHD14B,-0.0059305457,0.11053982,-0.0018404042,0.32154092,-0.020403087,-0.3171001,0.40108237,-0.79155463,0.0041865683,-0.17999175,-0.0005221236,-0.013116703,-0.03277033
TWF2,-0.003947672,0.14797781,0.0317902,-1.0373195,-0.10688508,0.26128426,0.43108875,-0.548332,0.0023249427,-0.014741481,0.0005548935,0.0045350585,-0.0529461
WDR82,-0.008348576,0.0065901037,0.016255965,0.093980856,-0.780161,-0.15561697,0.46162936,-0.46017402,0.04364072,-0.90539724,0.0026927197,-0.00040907884,0.01565161
GLYCTK,-0.003077285,0.08505349,0.119415656,-0.28888538,-0.2071241,-0.33784524,0.0199233,-0.3522647,-0.009128042,-0.13818325,-0.0020519898,-0.012666589,0.010196969
NISCH,-0.0016052414,-0.17857496,0.00993339,0.14114279,-0.0065728035,-0.3461531,0.20989579,0.17032568,0.011172283,-0.17596354,-0.0014577731,-0.0048556495,-0.009770294
STAB1,0.5760356,-1.1678162,-1.6442473,-0.0072541465,1.0326083,1.5943382,-1.4584303,-0.14601941,-2.7712908,1.0710009,0.097756475,0.70026535,0.8628244
PBRM1,0.0006563155,-0.02605923,-0.009513106,-0.74065006,-0.008637202,0.22048105,-0.024927236,0.1564269,-0.002863228,0.033841543,0.00018950968,-0.00072147953,0.014317523
GNL3,0.0013219803,0.093784615,-0.041539263,-0.40118557,-0.005197282,-0.34608343,0.018958734,0.05221334,0.0052283728,-0.09234945,-0.0012613367,-0.0019355762,0.002330817
SPCS1,0.001342764,-0.12867497,-0.077651426,-0.15843435,-0.013227612,0.036879346,0.15476781,-0.5501635,-0.0438442,-0.31853548,-0.0028078358,-0.01953105,0.7793988
PRKCD,-0.0044958275,0.5609628,-0.0017398344,0.45358524,-0.10597346,-0.9863042,-0.40292645,0.3103753,-0.02238017,-0.2230283,-0.0019819203,-0.013472549,0.03242633
DCP1A,0.00031549588,0.24534029,-0.096653685,-1.2508684,0.11685036,-0.30208337,0.28055632,0.05706482,-0.001760568,-0.11515499,-0.0022027185,0.006667296,-0.04897121
SELENOK,0.0126930345,-0.18013415,-0.07452841,0.14340222,0.18140486,0.06469357,-0.21637857,0.7385097,-0.016022123,-0.16474724,0.004546584,0.0006275514,0.085203074
APPL1,0.0062030507,0.029140493,-0.07861984,-0.24085437,-0.06623646,0.24156696,0.16379997,-0.23324415,-0.009836752,-0.073406845,0.0064720786,0.018075556,-0.0059245946
FLNB,-0.0016654251,-0.05525424,0.0018220313,0.068974085,0.007821511,0.13824607,-0.016554799,-0.1636864,0.0006164712,0.077910036,-0.00015247226,0.00023122934,-0.017680205
PDHB,-0.0034204053,-0.26800326,-0.09325668,0.8064565,-0.045412447,-0.43586412,0.091189936,0.41038355,-0.007559172,-0.30722174,0.0026321684,-0.0013151714,-0.011026393
ATXN7,0.0033388485,-0.11701346,0.0646909,-0.54072917,-0.55388796,-0.6855075,0.41328627,-0.55704904,0.028730968,-0.7397027,-0.0013376409,-0.008151928,-0.09357311
LRIG1,-0.028262665,0.429256,0.23682006,0.7339684,-0.6932687,-1.2897856,-0.0031409473,-0.36535102,0.06404731,-0.2736103,-0.013900729,-0.024377028,-0.21563461
FOXP1,-0.0022699358,-0.12245897,0.16328622,-1.4867333,-0.0024252024,0.009376219,0.35397518,-0.50264317,0.038865414,-0.16871372,-0.0045452407,0.0071182,-0.038332943
EIF4E3,-0.00056087517,-0.6607923,-0.034045625,0.014328525,0.09104668,0.59243864,0.27997446,-0.7814125,-0.023724796,0.07876026,-0.0020959992,0.019991782,0.052732192
CGGBP1,-0.0014193725,0.09122437,-0.009534958,-0.1336158,0.0028512827,0.28803554,-0.12726015,-0.617335,0.004168555,-0.018624814,-0.0003954828,-0.009606497,0.018254697
FILIP1L,-0.0066685486,-0.33594236,-0.019613896,-0.46203837,0.0071202214,0.34603584,-0.80067885,0.5979697,-0.013168888,-0.16287845,-0.0006881682,-0.001508534,-0.0059294924
NFKBIZ,0.0038263875,-0.6649407,0.03788209,-0.3100775,0.04300227,-0.25360954,-0.38248718,0.10879936,-0.009709698,0.06957416,-0.0018542822,-0.0038423496,-0.0021305252
CD47,-0.0012337518,0.00017901266,-0.04898053,-0.69673127,-0.19981655,0.3880138,0.41463867,-0.8785942,-0.006470687,0.032922737,0.00055023364,0.0036711392,-0.014491073
CD96,0.036660004,-0.04853058,0.33155665,-2.3367183,-0.7325736,-1.8333676,0.7799097,-0.93085915,0.3551682,-1.2051121,0.00068438443,-0.011774451,-0.31257907
PHLDB2,0.69368213,-1.1826693,-1.8820262,1.0342842,0.70201284,1.3026078,-1.8834536,0.5329899,-3.543262,1.1948199,-0.042328063,0.86571836,0.5935458
ATP6V1A,-0.009738864,0.41655943,-0.07880424,-0.49007064,-0.13568279,0.55465496,-0.38393846,0.45715865,-0.0021341823,0.034202155,0.0027864887,-0.009278398,-0.017621802
TIGIT,-1.0958364,0.178157,0.8161565,-2.3752174,-0.4281857,-1.1668913,0.45652926,-0.32186702,1.5064282,-0.7938672,-0.02113695,-0.99108475,-0.93064374
POPDC2,0.008994461,0.0045484416,0.041460425,-0.686346,-0.96662146,-0.40813625,-0.18186882,-0.51076657,0.03944556,-0.58098626,-0.009497048,0.007806599,-0.058230273
FSTL1,-0.06575379,-0.8892661,-0.94014335,1.526441,0.050970484,0.24299078,-0.7321161,1.2090781,-0.30966318,-0.00032806792,-0.022270687,0.037301846,0.028181119
HCLS1,-0.003230274,0.020931557,0.040315535,-1.3999729,0.011407626,0.06331009,0.05411994,-0.16991608,0.011203313,0.009174675,-0.0025648493,-0.024034102,0.0014621544
PARP14,0.093182966,-0.09104112,-0.25262764,-2.1813042,0.1946097,-0.093406305,-0.06371327,-0.42647335,-0.07295339,-0.12312084,0.008011808,0.07928482,-0.01740311
MYLK,-0.091012,-1.0827855,0.9494842,-2.1012785,-0.5242166,-1.1031603,-0.42466447,0.78592306,0.27885485,-0.44764695,-0.004423406,-0.3494911,-0.17056079
ABTB1,-0.0005151694,0.018586446,-0.002711907,-0.22089645,0.027442679,-0.6787938,0.22460563,-0.00032524503,0.009349559,-0.0556092,-0.00056086364,-0.0061655934,0.0032511062
RAB7A,0.0012054322,-0.03071725,0.053849526,-0.27341008,-0.015893733,0.47260514,-0.16701636,-0.41674843,-0.010774604,0.23165615,0.0013447601,0.0025426187,-0.0027438374
CNBP,-0.025253639,-0.31270453,0.07150492,0.41154766,-0.037703272,0.20388547,0.11488927,0.28222743,0.004882094,0.17315951,-0.0020371915,-0.012089822,-0.019893128
COPG1,0.0006393732,-0.39362714,-0.051854577,-0.56008536,0.01603294,-0.2977889,0.21751128,-0.048803624,0.010005431,0.011075635,-0.00081622944,-0.0012719942,0.025177399
HMCES,0.1164667,0.9691261,0.40081793,0.4340957,-0.8242626,-1.3947207,0.24972561,-1.5640006,0.097492374,-1.0910245,-0.0072836243,-0.021350933,-0.4073308
H1FX,-0.0041792654,-0.59734964,0.14283764,-0.36405617,0.39592698,0.0064534666,-0.17489387,-0.09098359,-0.51990324,0.020710107,0.011466351,-0.28233334,0.5327854
PLXND1,0.0010541196,-0.14228141,-0.5709614,0.77302986,0.014305312,0.7385164,-0.7431415,0.48153192,-0.12465444,0.5448661,0.001426222,0.02477769,0.057539523
CDV3,-0.00062120944,0.05443918,-0.04318854,-0.056349654,0.009461627,0.02290497,-0.10782261,0.2876262,-3.2340758e-06,-0.013536999,-0.0005984054,-0.0023815627,0.0051779286
AMOTL2,-0.011794042,-0.55984455,0.124531955,0.3254337,-0.05452875,-0.40477276,-0.54263896,0.59755826,-0.0016907464,-0.32228485,0.0044210227,0.0062459284,0.07602786
MSL2,0.0035482945,0.071453296,-0.03094525,-0.059544474,-0.054073703,-0.48920712,0.10258999,-1.4084806,0.008720874,-0.309922,0.002239245,0.011260514,-0.07904257
STAG1,-0.0026204933,-0.09777125,-0.00447721,-0.43588623,-0.0040071304,-0.3818164,0.30365348,0.008268405,0.019806243,-0.6179959,0.0002508665,-0.003167661,0.0020383436
COPB2,-0.0049224743,0.14719056,-0.24282907,0.5383332,-0.09817936,-0.31292713,0.2649857,-0.5867089,-0.0067093475,0.09102979,0.0030846011,-0.0022635942,0.020583741
ZBTB38,0.024328643,-0.4401494,-0.44044268,-1.0150981,0.4587329,0.3161224,-0.504822,0.41460368,-0.16050364,-0.0550221,0.0057578753,-0.017796291,0.23763624
RASA2,-0.0045327866,0.10512555,0.09585369,-0.7746627,-0.042020943,-1.1320046,0.36111408,-0.874582,0.04421223,-0.41767067,0.0005914794,-0.023320852,-0.10328386
RNF7,-0.0009781373,0.05417919,0.0048063663,0.28065053,-0.013996164,-0.21894573,-0.20470938,-0.0531441,-0.005174197,-0.07785166,0.0007641211,0.0012798619,-0.0042374
U2SURP,0.00082148786,0.048038047,-0.007645526,-0.4704746,0.017817488,-0.1373702,-0.044058044,-0.29785624,0.0042872205,-0.018363649,-0.00058796315,-0.0028584455,0.0020099857
TSC22D2,-0.011724363,0.007605193,0.38369226,0.37141725,-0.8390419,0.2578858,-0.2326665,-0.9131555,-0.0021006176,-0.25904974,-0.0018351986,-0.018173706,-0.043938242
SERP1,-0.0010752309,-0.27375636,-0.034315374,-0.47818732,0.3699426,0.0734529,-0.10545209,-0.16726202,-0.051509332,-0.05910025,-0.0014139246,-0.02185593,0.10071317
SELENOT,0.002822749,0.52685666,-0.1395372,-0.0069954568,-0.04546091,-0.28733832,0.08017454,0.5384225,-0.024394542,-0.4393049,0.0013393294,0.014685925,0.01973375
MBNL1,-0.005482875,-0.024609746,0.15062864,-0.41676292,-0.11508952,-0.28408027,0.2937962,-0.42696348,0.05131576,0.09098034,-0.0008518136,-0.04998864,-0.024275726
RAP2B,0.012414213,-0.27424347,-0.14546391,-0.2842823,0.058537018,0.53663564,-0.15549466,-0.51630783,-0.032061864,-0.13285784,0.00038057112,0.013829033,0.019857945
DHX36,-0.029526966,0.079889454,0.33352196,-0.79515463,-0.4867846,-0.56163174,0.44822875,-0.46198457,0.09628543,-1.2143139,-0.023154208,-0.03300809,-0.068933666
CCNL1,-0.00022984238,-0.00951024,-0.05206315,0.55820274,-0.04345111,0.2790545,0.09394974,0.43596256,-0.015554911,0.27205595,-0.0013825078,-0.0029807321,0.0005794994
SEC62,0.0068811337,-0.20258237,-0.10648164,-0.6281931,0.036929343,0.08336663,-0.64080596,-0.18118615,-0.023715224,-0.2011327,9.34549e-05,-0.0052733026,0.31426594
PHC3,0.0029135332,-0.0019783662,0.075516105,-0.5350774,-0.44723508,-0.5250098,0.15840861,-0.015575757,-0.0017503476,-0.3317638,0.0014116258,-0.0010576063,-0.009773215
TNIK,-0.0294798,-0.057853915,0.917441,-1.9373137,-0.8981196,-1.9713722,0.713099,-1.7964879,1.6744282,-1.6701645,0.009662057,-0.43447998,-0.38184777
FNDC3B,0.029198172,-0.82115626,-0.2184045,-0.29836848,0.2641532,0.16819482,-1.4372072,0.0912295,-0.30207527,-0.18981762,0.029627455,0.002169376,0.5365551
TNFSF10,0.34867817,-0.7984047,-0.7258012,0.3698322,-0.11256062,0.90414166,-0.78777725,-0.15129703,-0.8148815,0.53372526,0.012187171,0.42924237,-0.023483178
TBL1XR1,-0.0008578216,0.3377299,-0.09937552,-0.32171068,-0.019595,-0.060824316,-0.14879097,0.2516924,0.00014557812,0.13221247,-0.0015623432,0.003645162,-0.015092103
NDUFB5,-0.0004572337,-0.04682616,-0.010691119,0.44399488,0.0046788184,0.038356703,-0.05974111,-0.04014751,-0.0026039095,-0.007292372,-0.0008669982,-0.0024463753,0.007825415
ATP11B,-0.00023256587,0.34281373,-0.52154034,0.17393531,-1.0783644,-0.34042323,0.19218808,-0.7474537,0.029281573,-0.9942277,-0.011327749,-0.010306029,0.19171649
MCCC1,-0.005805458,0.024446065,-0.08066371,0.3417184,-0.045188062,-1.3411447,0.24769655,0.18087539,-0.012975969,-0.44563955,-0.0011218608,-0.002090761,0.020212838
KLHL6,-0.038952462,0.7603629,0.5502496,-0.6225777,-0.43644106,-1.6133977,0.2768324,-0.49008238,0.036088105,-0.37192494,0.009311971,-0.036436494,0.011890819
KLHL24,0.0019126326,0.13937165,0.033459414,0.14684111,-0.05343089,-0.13352126,0.18816397,-0.4672571,6.28749e-05,-0.099368215,-0.0023023367,0.0022856803,-0.005856233
EIF4G1,0.0028865202,0.44369546,-0.037348703,0.26266998,-0.09195749,-0.1571489,0.33453575,-0.3959024,-0.008312107,0.110516146,0.0025036477,0.009866503,-0.013968773
TRA2B,-0.0006485727,0.15481524,-0.008798719,-0.39185897,-0.021851422,-0.08905449,0.3596109,-0.22142509,-0.004990044,-0.2840521,8.1717524e-05,0.010169513,-0.01703647
DNAJB11,0.012091934,-0.005028977,-0.07723298,-0.3327903,-0.17185168,0.256231,-0.33884573,0.056041747,-0.017453201,0.18142164,0.00038972026,0.004393098,0.08783101
EIF4A2,-0.0021812138,0.17968924,-0.030565826,0.2709143,-0.06752665,-0.8718318,0.060389612,0.05613784,0.02988228,-0.013413226,-0.010941195,-0.004994677,-0.07254312
ST6GAL1,0.028302986,0.30564374,-0.54085386,-0.51749325,0.35767066,0.48695394,-0.30673257,-0.038693495,-0.50239533,0.10691655,0.0018209795,0.037694026,0.7413122
CCDC50,-0.0010449445,-0.07124491,-0.035138234,0.016743727,0.027119981,0.045466375,-0.22070423,-0.50230783,-0.0021658686,0.0025633203,0.0004972831,-0.0003716155,-0.0031613037
OPA1,-0.0020268688,0.28464475,-0.05626584,0.29767075,-0.3312766,-0.19298361,0.38418195,0.1096888,-0.010280141,-0.34482986,-0.0025042142,-0.005547455,-0.0078046066
ACAP2,-0.00016556488,0.0029297047,-0.057267547,0.001940031,0.0009579376,-0.14223167,0.025977328,-0.018510325,-8.397442e-05,-0.032786295,9.3016e-05,-0.0012504903,-0.007873465
APOD,-1.0501138,-1.2346812,-4.4552712,2.024353,-1.1261299,-0.27054822,-1.7453436,1.8400396,-4.189715,-0.308167,-0.21133527,-0.5132407,-0.7023409
TNK2,0.03042742,0.22707886,0.37574774,-2.4173036,-0.19566205,-0.70326126,0.3663956,-1.3358873,0.096489936,-1.120684,-0.008949726,0.011043544,-0.15327531
TFRC,-0.003698598,0.12205627,-0.16305645,0.33769947,-0.023401773,-0.6988838,0.13441119,0.5759065,-0.0012683208,-0.8713364,0.00033113608,0.006308902,-0.040151555
NCBP2,0.0032244227,0.0510473,-0.03388412,-0.4009935,-0.009851468,-0.035604898,0.21242376,-0.17155251,-0.004880818,-0.11446219,-0.0007479146,0.0030367258,0.0043048654
DLG1,0.0022056615,-0.19111994,0.1453908,-0.13413824,-0.050073095,-0.50151944,0.39817652,-0.4585214,0.014880892,-0.024061088,-0.003740998,-0.0038720083,-0.022929307
FYTTD1,-0.0033612654,0.33940563,-0.11040286,0.086429805,-0.060731705,0.306327,0.37625885,0.3146566,-0.0077127125,-0.1902364,-0.0026585108,-0.0034417394,-0.0004758655
LRCH3,0.0039928635,0.26696318,0.024036335,-0.41332477,0.0028432566,-0.00025964482,0.22790892,-1.0108852,0.00077483966,-0.11886095,0.0004247926,-0.001626014,-0.018894572
PCGF3,-0.0045390935,0.123378694,0.029466806,0.09424443,-0.013690144,0.50559264,-0.17356806,-1.0349648,-0.010131879,-0.059068963,-0.0009799184,-0.008695364,0.005075395
GAK,0.0029738531,0.07126361,-0.010233153,-0.5301577,-0.005239482,-0.030481191,-0.007957209,-0.1931697,0.0020040008,-0.24276677,0.000575903,-0.0019963407,-0.0058129625
TMEM175,-0.0013573591,-0.16105887,0.34139088,-1.867291,-0.007302644,-0.22754359,0.09764878,-0.69975126,0.04287694,-0.3183379,-0.0062402887,0.0066646407,-0.10505391
SLBP,-0.015309717,0.5521338,0.072271846,-1.5563966,-0.21768504,-0.6589551,0.047825165,-0.03248925,0.019382175,-0.30749315,-0.006732959,-0.0014051876,-0.03263757
TACC3,-0.13447687,0.5349393,0.31897104,-1.3279679,-0.25887862,-1.0173315,0.51538706,-0.14266203,0.28443828,-0.91969645,0.010405509,-0.16073312,-0.38074496
MXD4,0.005662375,-0.16801725,-0.3608244,0.6290702,0.21800077,0.19894694,-0.29394215,0.40041772,-0.07653513,0.30682984,0.0006343251,-0.00089631876,0.42902052
TNIP2,-0.0016514844,-0.01132274,-0.004709525,0.008649058,-0.07613553,-0.018693862,0.05421999,0.08661205,-0.00024579,0.107235,-0.00033354457,0.0027351778,-0.029051127
ADD1,-0.00016321546,-0.017608957,-0.12096147,-0.024013832,0.0569069,0.20577686,-0.06269662,0.0976901,-0.015469503,0.08524369,0.0007188772,0.00042269062,0.0005484497
HTT,-0.0021652025,0.38574633,-0.044589266,-0.010299708,0.047266673,0.24526355,-0.0079706665,-0.70032674,-0.0022440825,0.11535294,-0.002348984,-0.00082613557,-0.009470761
LRPAP1,-0.0012390383,-0.08165612,0.028594958,-0.32833695,-0.025424616,-0.12505813,-0.26574516,0.38548598,0.0013250945,-0.02455962,0.00014526892,-0.0059635467,-0.0040522264
MRFAP1,0.0017612764,-0.35590193,-0.008712819,-0.33462057,0.03634542,0.49202013,-0.56649375,0.77846324,-0.012140706,0.34360686,-0.0020026858,8.239152e-05,-0.0033734592
MRFAP1L1,-0.0012519126,-0.34656575,0.08118805,-0.50299644,0.006264307,-0.17184079,0.38795614,-0.0051668966,0.007135171,-0.15198916,-0.0019117793,-0.010972441,0.031213561
TBC1D14,-0.0016175826,-0.06665738,-0.003919759,-0.048060548,0.06122738,-0.0742278,0.07043598,-0.6719542,-0.0024932786,-0.02488364,-0.00045060512,-0.0036242902,0.00016377583
SH3TC1,0.0029601995,0.20826282,0.028260728,-0.617908,-0.018655254,0.5843734,-0.19799192,-0.89965504,-0.0067791496,0.021138415,0.001171775,-0.0030288135,-0.018282708
BOD1L1,-0.0020546038,0.17104606,-0.015063838,-0.20761822,-0.024690416,0.14748748,-0.060580187,-0.5549132,-0.00050736865,-0.070970185,0.0010054315,0.0014609045,-0.022959704
FBXL5,0.002321223,0.16528712,-0.08250397,0.25247338,0.06359913,0.10003246,0.029303685,-0.16611935,-0.00490019,-0.08430382,-0.0033217482,0.010106816,-0.009957492
CD38,0.030079165,0.2559916,-0.3396589,-0.48565954,-0.059457764,-0.27788502,0.34683728,-0.7744716,-0.03602377,-0.36067387,-0.0022459817,-0.00020007712,0.16004367
LAP3,0.0036208811,0.21282284,-0.052503794,-0.060805123,0.0069466983,-0.0060547222,-0.10869947,-0.93030846,-0.0022742434,0.03236673,0.0013465764,0.001711945,-0.022479462
DCAF16,0.0061106104,0.053277377,-0.0060759354,-1.3462583,-0.12994285,-0.5913655,-0.046926457,-1.9311838,0.031454798,-0.4294488,-0.0019356075,-0.008580679,0.015142373
DHX15,0.0005497828,0.032164685,-0.008493509,0.017130554,-0.0030397745,-0.014941775,0.007452554,0.469771,0.004006137,-0.03046207,-0.00026539527,0.0014129035,0.004846456
SEL1L3,0.19453113,0.19958124,-0.3821019,-0.05552911,0.29078883,-0.46616295,-0.9464347,-0.6307397,-0.6240746,-0.85348463,0.01644004,-0.20384073,1.1077785
TBC1D1,0.0020173779,0.51428366,0.6175038,-0.21597525,-1.4332262,-1.1128066,0.4021568,-1.2757933,0.21247344,-0.49434212,-0.042935774,0.019629389,-0.16597262
KLF3,0.007405288,-0.842833,0.027478788,-0.6170626,0.1436792,0.4585126,0.28417188,-0.6792648,-0.018222535,0.49295193,-0.0032204597,0.022688089,-0.04613738
TLR10,0.005567229,1.0778923,-0.13546664,-1.0066112,0.11843701,-0.79299366,-0.91178644,-0.12412361,-0.007855077,-0.7159986,0.0040722084,-0.008680884,-0.15963937
KLHL5,0.013825037,-0.16922438,-0.08279533,-1.4146438,-0.0035293605,0.9364705,-0.14362739,-0.08955578,-0.06203387,0.39329067,-0.002609888,0.009054982,0.048000656
SMIM14,-0.0033557727,1.0023092,-0.3355488,0.34456396,-0.034678515,-0.058708385,-0.44035527,0.73771983,-0.04477259,0.2808872,0.009411956,0.06753467,-0.44361514
RHOH,0.011079756,0.48252174,0.1082526,-2.0682235,-0.50743747,-0.8743979,0.45517412,-1.6425188,0.07063767,-0.77231985,-0.020444639,-0.014737308,-0.053451
FIP1L1,0.0012264514,-0.179607,-0.0432298,-0.33572328,0.18630262,-0.1675738,-0.8693598,-0.43067548,-0.0014917441,0.05106267,-0.0028793665,-0.0015009628,0.00434874
REST,-0.006981314,0.115407765,-0.05778431,0.14191505,0.025582038,-0.11678359,0.099103615,0.51230687,0.0021791907,0.037912544,-0.00072162546,-0.0030236833,-0.007596763
POLR2B,-0.007361798,0.1496892,0.020063879,-1.9346421,-0.293462,0.069658175,0.2301452,0.18335815,-0.0011862923,-0.19348162,-0.00096464914,0.00573648,-0.046957538
IGFBP7,0.033008225,-0.40252942,-1.4633524,0.70976776,0.054566946,0.8271229,-0.60926455,0.99903375,-1.8795755,0.94196576,-0.08761837,0.067545764,0.29663554
YTHDC1,-0.0058857105,0.07175474,0.11819518,-1.1899203,-0.16626295,-0.53116196,0.41130114,0.076796904,0.02694656,-0.15311149,-0.0028411204,-0.010878973,-0.060539823
JCHAIN,-0.1461847,-0.7944742,0.041535735,1.1583074,-0.091013625,-0.2140914,-0.9902035,0.9574017,-1.5242239,0.14296821,-0.02531391,-0.63295376,0.75703067
CXCL2,1.0312241,-1.6882143,-4.500234,0.8748996,1.09257,2.2531765,-2.0798643,-0.09575211,-7.2665577,2.1214468,-0.045690957,1.3107344,0.5848528
PARM1,-0.024218217,0.57307446,-0.18442184,-0.0098276185,-0.55312395,-1.0424397,-1.1958302,0.8075778,-0.042910647,-0.79486126,0.0066272933,-0.04050527,0.039343096
